Country,gdp
United States,18569100
China,11199145
Japan,4939384
Germany,3466757
United Kingdom,2618886
France,2465454
India,2263523
Italy,1849970
Brazil,1796187
Canada,1529760
"Korea, Rep.",1411246
Russian Federation,1283162
Spain,1232088
Australia,1204616
Mexico,1045998
Indonesia,932259
Turkey,857749
Netherlands,770845
Switzerland,659827
Saudi Arabia,646438
Argentina,545866
Sweden,511000
Poland,469509
Belgium,466366
Thailand,406840
Nigeria,405083
"Iran, Islamic Rep.",393436
Austria,386428
Norway,370557
United Arab Emirates,348743
"Egypt, Arab Rep.",336297
"Hong Kong SAR, China",320912
Israel,318744
Denmark,306143
Philippines,304905
Singapore,296966
Malaysia,296359
South Africa,294841
Ireland,294054
Pakistan,283660
Colombia,282463
Chile,247028
Finland,236785
Bangladesh,221415
Portugal,204565
Vietnam,202616
Greece,194559
Czech Republic,192925
Peru,192094
Romania,186691
New Zealand,185017
Iraq,171489
Algeria,156080
Qatar,152469
Kazakhstan,133657
Hungary,124343
Kuwait,114041
Morocco,101445
Ecuador,97802
Sudan,95584
Ukraine,93270
Angola,89633
Slovak Republic,89552
Cuba,87133
Sri Lanka,81322
Ethiopia,72374
Dominican Republic,71584
Kenya,70529
Guatemala,68763
Myanmar,67430
Uzbekistan,67220
Oman,66293
Luxembourg,59948
Costa Rica,57436
Panama,55188
Uruguay,52420
Bulgaria,52395
Croatia,50425
Lebanon,47537
Belarus,47433
Tanzania,47431
"Macao SAR, China",44803
Slovenia,43991
Lithuania,42739
Ghana,42690
Tunisia,42063
Jordan,38655
Azerbaijan,37848
Serbia,37745
Turkmenistan,36180
Côte d'Ivoire,36165
"Congo, Dem. Rep.",34999
Bolivia,33806
Bahrain,31859
Latvia,27677
Paraguay,27441
"Yemen, Rep.",27318
El Salvador,26797
Uganda,25528
Cameroon,24204
Estonia,23137
Honduras,21517
Nepal,21144
Trinidad and Tobago,20989
Iceland,20047
Cambodia,20017
Cyprus,19802
Zambia,19551
Afghanistan,19469
Papua New Guinea,16929
Bosnia and Herzegovina,16560
Zimbabwe,16289
Lao PDR,15903
Botswana,15275
Senegal,14765
Georgia,14333
Gabon,14214
Mali,14045
Jamaica,14027
West Bank and Gaza,13397
Nicaragua,13231
Mauritius,12164
Burkina Faso,12115
Albania,11927
Brunei Darussalam,11400
Mongolia,11160
Mozambique,11015
Malta,10949
"Macedonia, FYR",10900
Armenia,10547
Namibia,10267
Equatorial Guinea,10179
Madagascar,9991
Chad,9601
"Bahamas, The",9047
South Sudan,9015
Benin,8583
Rwanda,8376
Haiti,8023
"Congo, Rep.",7834
Niger,7509
Isle of Man,7428
Tajikistan,6952
Moldova,6750
Liechtenstein,6664
Kosovo,6650
Kyrgyz Republic,6551
Guinea,6299
Somalia,6217
Guam,5734
Malawi,5442
Mauritania,4635
Fiji,4632
Barbados,4588
Togo,4400
Montenegro,4173
Virgin Islands (U.S.),3765
Swaziland,3727
Sierra Leone,3669
Suriname,3621
Maldives,3591
Guyana,3446
Burundi,3007
Bhutan,2237
Greenland,2220
Lesotho,2200
Liberia,2101
Belize,1765
Central African Republic,1756
Djibouti,1727
Cabo Verde,1617
Antigua and Barbuda,1449
Timor-Leste,1442
Seychelles,1427
St. Lucia,1379
Solomon Islands,1202
Guinea-Bissau,1126
Grenada,1016
"Gambia, The",965
Northern Mariana Islands,922
St. Kitts and Nevis,917
Samoa,786
Vanuatu,774
St. Vincent and the Grenadines,771
American Samoa,641
Comoros,617
Dominica,525
Tonga,395
São Tomé and Principe,351
"Micronesia, Fed. Sts.",322
Palau,293
Marshall Islands,183
Kiribati,166
Nauru,102
Tuvalu,34
